timestamp,hostname,platform,role,cpu_percent,memory_used_percent,disk_used_percent,availability_percent,active_alerts
2026-02-03T20:00,NSS-DC01,Windows Server 2022,Domain Controller,2.0,49.51,77.75,99.8891,0
2026-04-17T17:00,NSS-DC02,Windows Server 2022,Domain Controller,17.6,42.18,66.54,99.9689,0
2026-04-26T09:00,NSS-LINUX-DB01,Rocky Linux 9,Database Server,15.55,69.69,58.47,99.7632,0
2026-02-04T04:00,NSS-LINUX-DB01,Rocky Linux 9,Database Server,21.49,54.81,84.87,99.9052,0
2026-05-07T14:00,NSS-FILE01,Windows Server 2022,File Server,40.78,73.98,69.49,99.7829,0
2026-05-26T06:00,NSS-LINUX-DB01,Rocky Linux 9,Database Server,2.0,45.01,33.96,99.8078,0
2026-07-23T20:00,NSS-DC02,Windows Server 2022,Domain Controller,36.99,54.24,40.14,99.9406,0
2026-06-12T14:00,NSS-DC01,Windows Server 2022,Domain Controller,22.29,44.82,44.67,99.8503,0
2026-02-16T15:00,NSS-APP01,Windows Server 2022,Application Server,34.03,43.86,71.21,99.9439,0
2026-04-08T01:00,NSS-APP01,Windows Server 2022,Application Server,24.48,35.67,61.45,99.9747,0
2026-06-08T02:00,NSS-LINUX-APP01,Ubuntu 24.04,Application Server,25.9,41.34,65.25,99.9017,0
2026-04-11T17:00,NSS-DC02,Windows Server 2022,Domain Controller,17.01,56.35,60.17,99.8717,0
2026-05-16T18:00,NSS-DC01,Windows Server 2022,Domain Controller,39.07,68.02,46.25,99.8094,0
2026-03-23T19:00,NSS-LINUX-DB01,Rocky Linux 9,Database Server,30.06,65.95,72.48,99.7859,0
2026-01-17T07:00,NSS-APP01,Windows Server 2022,Application Server,2.0,28.34,60.15,99.8435,0
2026-07-25T05:00,NSS-APP01,Windows Server 2022,Application Server,21.31,52.36,65.54,99.9723,0
2026-01-14T00:00,NSS-LINUX-APP01,Ubuntu 24.04,Application Server,11.6,54.35,74.23,99.9684,0
2026-03-13T07:00,NSS-MON01,Ubuntu 24.04,Monitoring Server,42.53,45.38,57.86,99.7888,0
2026-05-11T22:00,NSS-LINUX-DB01,Rocky Linux 9,Database Server,34.16,65.54,65.21,99.8152,0
2026-04-21T00:00,NSS-LINUX-APP01,Ubuntu 24.04,Application Server,31.08,41.04,75.33,99.983,0
2026-01-14T01:00,NSS-DC01,Windows Server 2022,Domain Controller,27.42,36.09,57.32,99.9111,0
2026-01-25T23:00,NSS-LINUX-APP01,Ubuntu 24.04,Application Server,36.38,56.79,57.03,99.9183,0
2026-02-21T08:00,NSS-APP01,Windows Server 2022,Application Server,21.37,66.51,77.24,99.9981,0
2026-01-15T13:00,NSS-APP01,Windows Server 2022,Application Server,32.01,59.17,83.37,99.8464,0
